Número	Foto	A levar	Check-in	Nome	Descrição	Objetivo	Como Funciona?	Conceitos Chave	QR-code IG	Link IG	QR-code Fotos	Link Fotos	QR-code Youtube	Link Youtube	Situação	Observação	Tipo	Setor	Percurso	Acessórios	Eventos C	Eventos	Dimensões (L x C x A)	Peso (Kg)	Valor Aproximado  (R$)	Local
P001		FALSE	TRUE	Quadro branco	Peça de madeira MDF com fórmica branca	Perceber a diferença entre perfil e instrumento para traçar curvas, em particular, retas e circunferências	O visitante começa com um pincel atômico e um simples pedaço de barbante sobre um quadro branco, com os quais é convidado a desenhar uma reta e uma circunferência. Neste processo, ele é levado a perceber a diferença entre perfil e instrumento	Curvas, reta, circunferência, perfil, instrumento, precisão		https://drive.google.com/file/d/1wQcx2-p6grQBHXO1CJg1koC9_T_rj1jz/view?usp=sharing		https://photos.app.goo.gl/EKqAYxwqA69wijJ48		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAzttXOruq0KugRx0QLr7eV	5	Limpar a peça	Peça	Geometria das Curvas e Superfícies	Construção de Retas	A010;A011;A012;A013;A070	E000; E001;E002;E007	E000; E001;E002;E007	50 cm x 60 cm x 6 cm	4,10000	R$ 300,00	LDM
P002		FALSE	TRUE	Mecanismo de Watt	Peça de madeira MDF em fórmica branca com articulações em barras de alumínio	Traçar uma reta de forma aproximada utilizando o mecanismo de Watt	Desenvolvido em 1784 por James Watt, este é um simples mecanismo articulado de três hastes, feito de tal modo que o ponto médio do lado menor se mova para cima e para baixo ao longo de uma trajetória retilínea. A parte central do traçado fornece aproximadamente um segmento de reta	Curvas, reta, circunferência, perfil, instrumento, precisão, Máquina de Watt		https://drive.google.com/file/d/1sVi6twkFf2m3jRps-06OlWzTg2_WBHqW/view?usp=sharing		https://photos.app.goo.gl/8aXie1AkKg7RmxsY6		https://www.youtube.com/playlist?list=PLHiOaPPoa2tB-p8-vjJfJkMzZThbof14z	5	Retirar os risco gerado pela parte articulada	Peça	Geometria das Curvas e Superfícies	Construção de Retas	A013;A014;A070	E000; E001;E002;E007	E000; E001;E002;E007	50 cm x 60 cm x 6 cm	4,30000	R$500,00	LDM
P003		FALSE	TRUE	Mecanismo de Tchebycheff	Peça de madeira MDF em fórmica branca com articulações em barras de alumínio	Traçar uma reta de forma aproximada utilizando o mecanismo de Tchebycheff	Desenvolvido em 1850 por Pafnuty Lvovich Chebyshev, este é um simples mecanismo articulado de três hastes, feito de modo que o ponto médio do lado menor se mova para esquerda e para direita ao longo de uma trajetória aproximadamente retilínea. A parte central do traçado fornece aproximadamente um segmento de reta.Neste mecanismo, é preservada a proporção AD:CD:AB = 5:4:2	Curvas, reta, circunferência, perfil, instrumento, precisão, Mecanismo de Tchebycheff		https://drive.google.com/file/d/1dibuLp1RGR7pheM2yLv-DeJoTnYtVnyM/view?usp=sharing		https://photos.app.goo.gl/nU7P8PdXDW1v7ZtK8		https://www.youtube.com/playlist?list=PLHiOaPPoa2tC3amT56Muy-c8SZ90NuKLB	5	Retirar os risco gerado pela parte articulada	Peça	Geometria das Curvas e Superfícies	Construção de Retas	A013;A014;A070	E000; E001;E002;E007	E000; E001;E002;E007	50 cm x 60 cm x 6 cm	4,40000	R$ 500,00	LDM
P004		FALSE	TRUE	Mecanismo de Roberts	Peça de madeira MDF em fórmica branca com articulações em barras de alumínio	Traçar uma reta de forma aproximada utilizando o mecanismo de Roberts	Desenvolvido em 1860 por Richard Roberts, é um simples mecanismo articulado de três hastes e um pentágono de madeira, feito de modo que o vértice oposto ao lado sobre a haste menor se mova para esquerda e para direita ao longo de uma trajetória aproximadamente retilínea. Neste mecanismo, deve ser considerada as medidas AB = BP = PC = CD e AD = 2.BC	Curvas, reta, circunferência, perfil, instrumento, precisão, Mecanismo de Roberts		https://drive.google.com/file/d/1Duck-F2NmfabwRr23Sctaahqu7dqHPmG/view?usp=sharing		https://photos.app.goo.gl/VruxvrG8RrrXxQMMA		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAWtGFTzSyjvV1ffChDEDwy	5	Retirar os risco gerado pela parte articulada	Peça	Geometria das Curvas e Superfícies	Construção de Retas	A013;A014;A070	E000; E001;E002;E007	E000; E001;E002;E007	50 cm x 70 cm x 6 cm	5,10000	R$300,00	LDM
P005		FALSE	TRUE	Mecanismo de Peaucellier-Lipkin	Peça de madeira MDF em fórmica branca com articulações em barras de alumínio	Traçar uma reta de forma exata utilizando o mecanismo de Peaucellier-Lipkin	Descoberto por Peaucellier em 1864 e Lipkin em 1871, este mecanismo constitui uma solução exata para o traçado de uma reta através de um sistema articulado	Curvas, reta, circunferência, perfil, instrumento, precisão, Mecanismo de Peaucellier-Lipkin		https://drive.google.com/file/d/1rpRXiwGEjzW1wds-BDn3q6mth2ZZw-zb/view?usp=sharing		https://photos.app.goo.gl/Y28f4xfxCrXQ12m67		https://www.youtube.com/playlist?list=PLHiOaPPoa2tDGJEFjwsBpAhpovdbMUgMe	4	Falta uma porca	Peça	Geometria das Curvas e Superfícies	Construção de Retas	A013;A014;A070	E000; E001;E002;E007	E000; E001;E002;E007	50 cm x 60 cm x 6 cm	4,40000	R$ 300,00	LDM
P006		FALSE	TRUE	Mecanismo de Hart	Peça de madeira MDF em fórmica branca com articulações em barras de alumínio	Traçar uma reta de forma exata utilizando o mecanismo de Hart	Desenvolvido por Hart em 1874, este mecanismo é baseado no princípio de inversão circular. Enquanto o ponto P descreve um arco de circunferência passando por O, o ponto Q percorre um segmento de reta. Sua estrutura em anti-paralelogramo garante o traçado retilíneo exato com apenas articulações	Movimento retilíneo exato, articulações, anti-paralelogramo, inversão, cinemática, geometria plana		https://drive.google.com/file/d/1AOml6Zq_Fq9X-uATycfOP9sx9fhjGql6/view?usp=sharing		https://photos.app.goo.gl/nDyJHrJj6HkfNpSf9		https://www.youtube.com/playlist?list=PLHiOaPPoa2tAGI-ybloCSDEk96K3JmV-E	5	xxxx	Peça	Geometria das Curvas e Superfícies	Construção de Retas	A013;A014;A070	E000; E001;E002;E007	E000; E001;E002;E007	50 cm x 70 cm x 6 cm	5,10000	R$300,00	LDM
P007		FALSE	TRUE	Mecanismo de Sarrus	Peça de MDF com barras articuladas em madeira que sobem e descem sem inclinação	Demonstrar um movimento retilíneo perfeito com articulações no espaço tridimensional	As barras cruzadas guiam a parte superior para que se desloque verticalmente sem inclinar, mantendo sempre a face paralela à base	Movimento retilíneo, articulação espacial, cinemática, geometria 3D, paralelismo		https://drive.google.com/file/d/1vZAKwttahPPGcKX6ZPutQEbl7aVmDbnA/view?usp=sharing		https://photos.app.goo.gl/KPhy82seGKWjBkeR8		https://www.youtube.com/playlist?list=PLHiOaPPoa2tB_YKWADxItZCYyJCqkQhdz	5	xxxx	Peça	Geometria das Curvas e Superfícies	Construção de Retas	A013;A014;A070	xxxx	xxxx	50 cm x 60 cm x 14 cm	9,80000	R$ 200,00	LDM
P008		FALSE	TRUE	Lanterna	Tubo cilíndrico com uma lâmpada interna central, projetando luz em duas direções. Ao ser encostado a uma parede, a luz forma curvas projetadas que mudam com a inclinação do tubo	Visualizar as seções cônicas (elipse, parábola, hipérbole) por meio da projeção da luz em uma superfície plana	A projeção da luz do tubo, ao incidir sobre a parede sob diferentes ângulos, revela diferentes curvas cônicas	Seções cônicas, luz, projeção, geometria, ângulo, visualização matemática		https://drive.google.com/file/d/1NhtLo3IPXf9qxmOCLAMvU6_6e9Vi1nJB/view?usp=sharing		https://photos.app.goo.gl/qupdY1t4xGt7s1Ft8		https://www.youtube.com/playlist?list=PLHiOaPPoa2tB3uOQpqiNOvBEAdbs6jPP6	2	Há a previsão de uma base conforme um projeto feito.	Peça	Geometria das Curvas e Superfícies	Cônicas	A015;A016;A017	E000; E001;E002;E007	E000; E001;E002;E007	62 cm x 160 cm x 160 cm	0,10000	R$100,00	LDM
P009		FALSE	TRUE	Cone Gigante em Fios	Cone formado por fios de nylon ou silicone sobre estrutura metálica, usado com um nivelador a laser que projeta curvas luminosas sobre os fios	Demonstrar visualmente as curvas cônicas (elipse, parábola, hipérbole) resultantes da interseção entre um plano de luz e um cone	Um plano de luz criado com laser corta o cone formado por fios, e a curva gerada é vista pela reflexão nos fios iluminados	Cônicas, luz, projeção, interseção, geometria, visualização		https://drive.google.com/file/d/1G453cqlc1Td57j2O3m8mdwNliGNeFdV7/view?usp=sharing		https://photos.app.goo.gl/opC6MkgLoKFD45Rz8		https://www.youtube.com/playlist?list=PLHiOaPPoa2tDVYOM_KoBJQ3t7IKOZ_f2i	5	xxxx	Peça	Geometria das Curvas e Superfícies	Cônicas	A018;A019	xxxx	xxxx	75 cm x 75 cm x 200 cm	25,00000	R$ 250,00	MUDI
P010		FALSE	TRUE	Cone Duplo de Inox	Peça em aço inox com forma de cone duplo (como dois coadores unidos pelas pontas) que, ao ser mergulhada em água, gera curvas visíveis na superfície líquida	Visualizar seções cônicas como interseções reais entre um cone e um plano	O plano formado pela superfície da água corta o cone de aço, revelando curvas como elipses, parábolas e hipérboles, dependendo da inclinação da peça	Seções cônicas, plano de corte, geometria visual, interseção, inclinação		https://drive.google.com/file/d/1tIeUpGm5BUwPaj-Qm52Dyif8Al0fjNTg/view?usp=sharing		https://photos.app.goo.gl/ctihbod6VvaJhRgc8		https://www.youtube.com/playlist?list=PLHiOaPPoa2tDEnOypMUmgl2bvfABs-DHX	2	Tnha uma caixa de vidro para mergulhá-lo na água.	Peça	Geometria das Curvas e Superfícies	Cônicas	A020	xxxx	xxxx	17 cm x 22 cm x 30 cm	0,10000	R$100,00	LDM
